food_name,food_type,amount,unit,calories(g),fats(g),carbs(g),protein(g),saturated_fat(g),cholesterol(mg),sodium(mg),dietary_fiber(g),sugars(g),calcium(mg),iron(mg),potassium(mg),vitamin_A(mcg),vitamin_C(mg)
đường,gia vị,220,gram,851,0,219.96,0,0,0,0,0,219.8,2,0.02,4,0,0
đường,gia vị,221,gram,855,0,220.96,0,0,0,0,0,220.8,2,0.02,4,0,0
đường,gia vị,223,gram,863,0,222.96,0,0,0,0,0,222.8,2,0.02,4,0,0
đường,gia vị,225,gram,871,0,224.96,0,0,0,0,0,224.8,2,0.02,4,0,0
đường,gia vị,229,gram,886,0,228.95,0,0,0,0,0,228.79,2,0.02,5,0,0
đường,gia vị,230,gram,890,0,229.95,0,0,0,0,0,229.79,2,0.02,5,0,0
đường,gia vị,231,gram,894,0,230.95,0,0,0,0,0,230.79,2,0.02,5,0,0
đường,gia vị,233,gram,902,0,232.95,0,0,0,0,0,232.79,2,0.02,5,0,0
đường,gia vị,235,gram,909,0,234.95,0,0,0,0,0,234.79,2,0.02,5,0,0
đường,gia vị,239,gram,925,0,238.95,0,0,0,0,0,238.78,2,0.02,5,0,0
đường,gia vị,240,gram,929,0,239.95,0,0,0,0,0,239.78,2,0.02,5,0,0
đường,gia vị,241,gram,933,0,240.95,0,0,0,0,0,240.78,2,0.02,5,0,0
đường,gia vị,243,gram,940,0,242.95,0,0,0,0,0,242.78,2,0.02,5,0,0
đường,gia vị,245,gram,948,0,244.95,0,0,0,0,0,244.78,2,0.02,5,0,0
đường,gia vị,249,gram,964,0,248.95,0,0,0,0,0,248.78,2,0.02,5,0,0
đường,gia vị,250,gram,968,0,249.95,0,0,0,0,0,249.78,2,0.02,5,0,0
đường,gia vị,251,gram,971,0,250.95,0,0,0,0,0,250.77,3,0.03,5,0,0
đường,gia vị,253,gram,979,0,252.95,0,0,0,0,0,252.77,3,0.03,5,0,0
đường,gia vị,255,gram,987,0,254.95,0,0,0,0,0,254.77,3,0.03,5,0,0
đường,gia vị,259,gram,1002,0,258.95,0,0,0,0,0,258.77,3,0.03,5,0,0
đường,gia vị,260,gram,1006,0,259.95,0,0,0,0,0,259.77,3,0.03,5,0,0
đường,gia vị,261,gram,1010,0,260.95,0,0,0,0,0,260.77,3,0.03,5,0,0
